# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
8.869469055e-05 2.534322e-02 3.896942e-02 4.802685e-02 5.322642e-02 5.619711e-02 5.620279e-02 7.648707e-02 9.936175e-02 1.072149e-01 1.135713e-01 1.196063e-01 1.892979e-01 2.326298e-01 2.677805e-01 2.988712e-01 3.112722e-01 4.391794e-01 5.604218e-01 6.824091e-01 8.208429e-01 9.860220e-01 1.191616e+00 1.449263e+00 1.888497e+00 2.999167e+00 
9.250190295e-05 2.838921e-02 4.127706e-02 4.886976e-02 5.677825e-02 6.069210e-02 6.252773e-02 9.008208e-02 1.063323e-01 1.162723e-01 1.269216e-01 1.316586e-01 1.912236e-01 2.322173e-01 2.677428e-01 2.975456e-01 3.110542e-01 4.377008e-01 5.553136e-01 6.797382e-01 8.167253e-01 9.830891e-01 1.185670e+00 1.461985e+00 1.885381e+00 2.977501e+00 
9.553261356e-05 2.563299e-02 3.916695e-02 4.684924e-02 5.131225e-02 5.437259e-02 5.607233e-02 7.741614e-02 9.224775e-02 1.056899e-01 1.186244e-01 1.203029e-01 1.890077e-01 2.337240e-01 2.671109e-01 2.969342e-01 3.114309e-01 4.341891e-01 5.555985e-01 6.779674e-01 8.106738e-01 9.786818e-01 1.187461e+00 1.467335e+00 1.906916e+00 3.012068e+00 
9.873919595e-05 2.632751e-02 3.922011e-02 4.667195e-02 5.283544e-02 5.752489e-02 5.888893e-02 8.081080e-02 9.683853e-02 1.078068e-01 1.168685e-01 1.189333e-01 1.821342e-01 2.287465e-01 2.630838e-01 2.959012e-01 3.114029e-01 4.354402e-01 5.545321e-01 6.774583e-01 8.155098e-01 9.795898e-01 1.183221e+00 1.456420e+00 1.880462e+00 3.017228e+00 
1.004494211e-04 2.570584e-02 3.524596e-02 4.265101e-02 4.899253e-02 5.178243e-02 5.183394e-02 7.381931e-02 9.315969e-02 1.085798e-01 1.203833e-01 1.247581e-01 1.881017e-01 2.309594e-01 2.669303e-01 2.964788e-01 3.112384e-01 4.384026e-01 5.555014e-01 6.800980e-01 8.142661e-01 9.836817e-01 1.184000e+00 1.466546e+00 1.877737e+00 2.960854e+00 
1.033175654e-04 1.824584e-02 1.857849e-02 2.770534e-02 3.930719e-02 4.460618e-02 4.554576e-02 7.438959e-02 9.190758e-02 1.030102e-01 1.121122e-01 1.188786e-01 1.893741e-01 2.317434e-01 2.648898e-01 2.983447e-01 3.133995e-01 4.427174e-01 5.593656e-01 6.857317e-01 8.256915e-01 9.790744e-01 1.185058e+00 1.460414e+00 1.892551e+00 2.991068e+00 
1.068708522e-04 2.711295e-02 3.757235e-02 4.802521e-02 4.946288e-02 5.445726e-02 5.682248e-02 7.950317e-02 9.845929e-02 1.141960e-01 1.239268e-01 1.299181e-01 1.935269e-01 2.383199e-01 2.666422e-01 2.956896e-01 3.108090e-01 4.390630e-01 5.593210e-01 6.853364e-01 8.243365e-01 9.877965e-01 1.193456e+00 1.479399e+00 1.909668e+00 3.059797e+00 
1.101760380e-04 2.757782e-02 3.536796e-02 3.955390e-02 4.699377e-02 5.121376e-02 5.620070e-02 8.361454e-02 9.736103e-02 1.109643e-01 1.218647e-01 1.267586e-01 1.954985e-01 2.398178e-01 2.742971e-01 3.036418e-01 3.170217e-01 4.407602e-01 5.607646e-01 6.832539e-01 8.184997e-01 9.862943e-01 1.189088e+00 1.475088e+00 1.909085e+00 3.033423e+00 
1.138813196e-04 3.365724e-02 4.495371e-02 5.170024e-02 5.825964e-02 5.914733e-02 5.939373e-02 9.015567e-02 1.044531e-01 1.155553e-01 1.250105e-01 1.302062e-01 1.988008e-01 2.390447e-01 2.728126e-01 3.012649e-01 3.144942e-01 4.427030e-01 5.640682e-01 6.893526e-01 8.249741e-01 9.946367e-01 1.201596e+00 1.482945e+00 1.913374e+00 3.016072e+00 
1.164751285e-04 2.941091e-02 3.782802e-02 5.001421e-02 5.512193e-02 5.731827e-02 6.044603e-02 8.993338e-02 1.074781e-01 1.211982e-01 1.299294e-01 1.345547e-01 1.931880e-01 2.371517e-01 2.722056e-01 3.040729e-01 3.184156e-01 4.460940e-01 5.681414e-01 6.922202e-01 8.306102e-01 9.994344e-01 1.207018e+00 1.486228e+00 1.927565e+00 3.041672e+00 
