# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
8.8694691e-05 1.0407908e-06 40 399870 0.99304552 0.99788103 43812.451 0.36003412 7.9101693 -1.1167823 0.24397698 -0.48899013 0 -0.87189702 0 0.00012870747 -8.8348769e-07 0 0 -1.1167823 0.82085288 7.0564175 0.15272871 0.83034223 0.30081827 0 0 25555.195
9.2501903e-05 3.8072124e-06 41 399860 0.99248484 1.0017151 43020.253 0.36152271 8.0557568 -1.1075273 0.2454312 -0.49002199 0 -0.8630727 0 0.00013704854 -8.8348769e-07 0 0 -1.1075273 0.81672787 6.2581393 0.16144869 0.82661148 0.30287363 0 0 25295.927
9.5532614e-05 3.0307106e-06 42 399852 0.99202847 1.0038428 41506.839 0.36210269 8.6145292 -1.1000751 0.24612718 -0.49036999 0 -0.85597189 0 0.00014048392 -8.8348769e-07 0 0 -1.1000751 0.81068132 5.890092 0.16653349 0.82719315 0.30269512 0 0 24246.029
9.8739196e-05 3.2065824e-06 43 399843 0.99154771 1.0062454 49584.515 0.35959972 8.0457852 -1.0922597 0.24693965 -0.49081398 0 -0.84852806 0 0.00014353498 -8.8348769e-07 0 0 -1.0922597 0.81551068 8.4378742 0.13931507 0.82824518 0.27657099 0 0 22558.38
0.00010044942 1.7102251e-06 44 399841 0.99129999 1.0049417 47021.334 0.35577228 8.011172 -1.0881852 0.24610029 -0.48978022 0 -0.84464799 0 0.0001435926 -8.8348769e-07 0 0 -1.0881852 0.8142732 8.0925516 0.14295653 0.83232139 0.27538776 0 0 21807.834
0.00010331757 2.8681443e-06 45 399835 0.98936898 1.0032584 42250.696 0.35981809 7.9874688 -1.0889252 0.24341003 -0.48523894 0 -0.8472434 0 0.00014803509 -8.8348769e-07 0 0 -1.0889252 0.82569561 6.201903 0.16302915 0.83094455 0.30491936 0 0 25712.24
0.00010687085 3.5532868e-06 46 399828 0.98664622 1.0026122 45311.654 0.35989637 8.0955078 -1.0278047 0.24108966 -0.48092308 0 -0.78813659 0 0.00016658435 -1.3022711e-06 0 0 -1.0278047 0.82434473 6.3472913 0.16055389 0.82786466 0.2933319 0 0 24533.268
0.00011017604 3.3051858e-06 47 399825 0.98340689 1.0055844 42140.828 0.36386752 8.6751965 -1.0112717 0.24023172 -0.47779526 0 -0.77387295 0 0.00016643852 -1.6195018e-06 0 0 -1.0112717 0.8185002 5.6182868 0.17026218 0.82597031 0.30268122 0 0 24256.583
0.00011388132 3.7052817e-06 48 399818 0.98107896 1.0021327 43631.174 0.36786125 8.183851 -0.96640737 0.23669126 -0.47237509 0 -0.73088871 0 0.00016677623 -1.6195018e-06 0 0 -0.96640737 0.82497552 5.5464387 0.17126582 0.82550958 0.3206965 0 0 28908.625
0.00011647513 2.5938088e-06 49 399817 0.97912432 1.0000011 40633.034 0.3712081 8.4272021 -0.94874904 0.23419065 -0.46838077 0 -0.71472632 0 0.00016901804 -1.6195018e-06 0 0 -0.94874904 0.83061114 4.8738432 0.18074919 0.81668851 0.31924601 0 0 25846.595
0.00011782332 1.3481961e-06 50 399811 0.97810802 0.99846459 45721.161 0.36919296 8.3212391 -0.93989061 0.23268535 -0.46608634 0 -0.70675642 0 0.00026841731 -1.6195018e-06 0 0 -0.93989061 0.83012795 5.6131353 0.16821302 0.81565532 0.2986766 0 0 24208.095
0.00012046167 2.6383485e-06 51 399809 0.97656904 1.0021654 40333.668 0.37431841 9.2014196 -0.90449694 0.2332356 -0.46546329 0 -0.67253597 0 0.00026832513 -1.6195018e-06 0 0 -0.90449694 0.83214523 4.3686344 0.1896282 0.81118531 0.33529235 0 0 28987.788
0.00012277126 2.3095859e-06 52 399808 0.97515512 1.0012157 42789.798 0.37359985 8.4360949 -0.8948973 0.23180412 -0.4630453 0 -0.66392378 0 0.00026928383 -1.6195018e-06 0 0 -0.8948973 0.83989976 4.9286776 0.17746217 0.80633459 0.30485285 0 0 23248.286
0.00012496989 2.1986359e-06 53 399806 0.97310053 1.0042533 48708.97 0.3716526 8.3426037 -0.88529431 0.23179865 -0.46163384 0 -0.65572979 0 0.00027229529 -1.6195018e-06 0 0 -0.88529431 0.83550063 5.28495 0.17236971 0.81100902 0.30164123 0 0 26041.713
